delta,ratio
-23.300488500984997,0.0005966288384512684
-28.752511887434615,0.0002545060080106809
-25.59349549399199,0.00025033377837116157
-25.744315166123137,0.0005090120160213618
-28.261237429475862,0.0003880173564753004
-27.271834844172496,0.0011557076101468625
-28.041587097045426,0.0010931241655540722
-27.412700792005236,0.0012600133511348464
-20.6752382325812,0.0010055073431241655
-25.37283681135726,0.002787049399198932
-28.026254114681645,0.00048397863818424566
-26.521890555720386,0.0013518024032042723
-18.25618206115617,0.0005590787716955941
-28.041321580948512,0.0019192256341789052
-28.426828827325323,0.00031291722296395195
-25.765405606351543,0.00037132843791722297
-20.40972795892185,0.00208194259012016
-18.066828827325324,0.00031291722296395195
-19.473555017801516,0.005607476635514018
-24.296955701604446,0.0012057743658210947
-29.407781208277704,0.0007301401869158878
-25.145162160658657,0.0025033377837116156
-25.741412160658655,0.00040053404539385846
-22.997442862413042,0.0006341789052069426
-28.202586403082897,0.004497663551401869
-26.822907258697875,0.0002837116154873164
-28.940554317521404,0.0002837116154873164
-21.56178817691882,0.0005131842456608811
-28.602006132289862,0.00039218958611481975
-23.34377482360093,0.0007468291054739652
-21.354101554598053,0.0005507343124165554
-24.079521694865353,0.0019108811748998664
-25.23478337277987,0.0022029372496662216
-27.407009007505504,0.0007718624833110815
-24.35057794642328,0.003946929238985313
-20.49757712664505,0.0038843457943925235
-26.35691012813833,0.0008553070761014686
-25.25200171805838,0.0010055073431241655
-26.953069962077095,0.0009804739652870494
-22.047341647838145,0.0005423898531375167
-15.569005698073624,0.0004088785046728972
-17.66349549399199,0.00041722296395193593
-23.653046055789744,0.0007426568758344459
-24.044691666240794,0.0008719959946595461
-24.41194651904894,0.0018316088117489987
-29.0056167061132,0.0002753671562082777
-26.264083729286106,0.0002837116154873164
-24.762631296461127,0.0003379506008010681
-27.286738737235233,0.0006174899866488652
-14.597066922563418,0.0007009345794392523
-27.29349549399199,0.0015312082777036047
-29.36246101123337,0.00048397863818424566
-21.21548130959483,0.0017648531375166888
-25.98957392536454,0.0012767022696929238
-23.48844134236744,0.0011557076101468625
-26.439126561953156,0.000429739652870494
-22.103230007266326,0.0009429238985313752
-28.055400255896753,0.00026285046728971963
-16.88045201573112,0.00019192256341789052
-20.2114344252897,0.0021862483311081444
-20.496027139561612,0.00032960614152202937
-1.2571318576283517,0.0022947263017356477
-27.97349549399199,0.00031291722296395195
-16.08238438288088,0.0003755006675567423
-26.655197621651567,0.0009804739652870494
-27.210894439510444,0.002373998664886515
-24.893495493991992,0.00031291722296395195
-22.935879599952255,0.0006300066755674232
-17.849051049547548,0.00045060080106809077
-22.277991618022998,0.0005382176234979973
-27.509322832121487,0.0017398197596795728
-21.58195703245353,0.00021695594125500667
-8.102040653537692,0.007714452603471295
-23.455260199874346,0.0002837116154873164
-25.392943007804146,0.001510347129506008
-22.68727787741168,0.0008052403204272363
-11.440782315697415,0.0010764352469959946
-19.239441439937938,0.0004631174899866489
49.40086652381216,0.001406041388518024
-27.25503395553045,0.0008678237650200267
-26.8748908428292,0.0003588117489986649
-11.645876446372942,0.0004380841121495327
-26.658458997641624,0.0005715954606141522
-25.97084103174943,0.00364652870493992
-23.34377482360093,0.0007468291054739652
-27.248450448946947,0.0004631174899866489
-27.252399603581033,0.00030457276368491324
-27.547440974623267,0.0029080440587449935
-29.009711710208208,0.0003087449933244326
-5.310516770587732,0.0009804739652870494
-26.208528173730553,0.0006383511348464619
-23.03349549399199,0.00041722296395193593
-29.164463235927474,0.0003880173564753004
-17.91849549399199,0.0011682242990654205
-5.397391597888095,0.00032126168224299066
-27.583350566455756,0.0005757676902536715
-27.06272626322276,0.0003796728971962617
-27.660584101586927,0.0013184245660881175
0.11469164051093372,0.007134512683578104
-28.985803186299684,0.0005966288384512684
-21.197109951823315,0.0003462950600801068
-28.767854468350965,0.00032543391188251
-24.937700345744013,0.0030957943925233643
-16.935697328854374,0.0004547730307076101
-28.372442862413045,0.0003170894526034713
-28.079209779706275,0.0005257009345794393
-25.876172659346324,0.0005298731642189586
-27.905740391951174,0.0002044392523364486
4.216783216783217,0.0003796728971962617
4.447316523454006,0.0002586782376502003
3.9273455377574376,0.0006842456608811749
