delta,ratio
-19.050432855625427,0.005735209776326819
-16.863212988878,0.02241143512595403
-18.836770398679388,0.0029558388847222834
-8.619663624856194,0.005735209776326819
-15.242740547933119,0.006838134733312746
-15.613328783227237,0.0029999558830017207
-8.968827504454858,0.002029381920854105
-15.719295571856565,0.018440905280804692
-16.129753534946104,0.006794017735033308
-16.1054271150973,0.0029558388847222834
-14.176073881266452,0.0026470198967662242
-9.730975842050766,0.004499933824502581
-16.678668691645694,0.01473507742533198
-16.16014561122426,0.027881942912604228
-15.394793093089113,0.026867251952177172
-16.62068172440371,0.005999911766003441
-17.64274054793312,0.002779370891604535
-19.17545082830695,0.004720518815899766
-11.487758998117622,0.011955706533727446
-19.128034665580177,0.0029999558830017207
-13.371135609661515,0.0035734768606344026
-19.86496277015534,0.0023823179070896015
-16.896471891216702,0.0029558388847222834
-17.925759415857648,0.0023382009088101646
-15.728286270646983,0.014955662416729167
3.0105557482226466,0.0032205408743989057
0.24071813650696683,0.0025587859002073497
