delta,ratio
-13.6171928648534,0.0017362281707234846
-13.6576965056301,0.00107882138763401
-10.476501330191503,0.00192165059672308
-13.285357531830972,0.0038601577776279416
-12.165097821419572,0.0012811003978153866
-12.54716409822269,0.0018205110916323917
-11.915580679942025,0.003674735351628346
-12.544571505630099,0.0029499022318117455
-12.931375629341439,0.003270177331265592
-10.645747976218335,0.0011462477243611355
-5.697479307048539,0.002376778369631178
-12.862051820590729,0.0021407861910862384
-13.551630329159511,0.0014328096554514192
-6.552029132748743,0.001989076933450206
-11.781494582553176,0.006135796642168431
22.616183211351036,0.12328905670554918
-13.33520213626073,0.0018710808441777358
-13.789677888608821,0.000792259456543726
-12.850638921360435,0.001500235992178545
-11.598188526906695,0.000792259456543726
-7.281004626649208,0.0052929674330793606
-10.903724048002982,0.003978153866900412
-13.808019781492169,0.0014665228238149822
-13.483881850457685,0.0024442047063583036
-10.388115809427568,0.0013316701503607309
-12.625919820236842,0.001500235992178545
-13.536032179787401,0.001500235992178545
-11.0045715056301,0.004214146045445351
-13.499214362772957,0.0018879374283595173
-13.133142934201528,0.0010619648034522285
-11.01409531515391,0.00637178882071337
-13.19824239170605,0.0026633403007214618
-13.43268210470844,0.0036578787674465645
-12.88638968744828,0.0007416897039983817
-12.068606593349397,0.00384330119344616
-11.15336668635299,0.005596385948351426
-3.291681692740287,0.04054008495718427
-12.511023118533325,0.003135324657811341
-12.608919331717056,0.0019385071809048615
9.835589136940182,0.00839457892252714
-10.858857219915812,0.0029499022318117455
-11.710669066605709,0.0027644798058121503
-13.612263813322407,0.0010956779718157912
-9.491029838963433,0.0032364641629020296
13.934963378090828,0.004348998718899602
-3.464331265389859,0.005613242532533208
-13.088133149465715,0.00492212258108017
-13.525624137209046,0.0048041264918077
-13.861714362772958,0.0011799608927246983
-13.545151215775027,0.0011631043085429168
-13.147194456449771,0.0010282516350886657
-12.14865045299852,0.010248803182523093
-1.8611371621957566,0.0066752073359854355
-12.971561796892235,0.013889825365787877
-2.692149145381652,0.002713910053266806
-12.5014465056301,0.00107882138763401
-12.72926286365479,0.0013653833187242937
-12.18534073639933,0.000876542377452633
-12.752190553249147,0.000707976535634819
-13.814327603191074,0.0013822399029060752
-11.51568261674121,0.0015170925763603263
-14.437904838963433,0.0025284876272672107
-13.987330126319755,0.0024442047063583036
-12.000346153517423,0.0011968174769064798
-13.554571505630099,0.0013485267345425124
-13.7280090056301,0.00215764277526802
-11.946155664045941,0.00851257501179961
-11.386924446806571,0.0028656193109028384
0.8033381712626992,0.0017867979232688287
-28.140979436082258,0.001500235992178545
-9.874428274428274,0.000876542377452633
3.2081667618503715,0.002005933517631987
2.441584158415841,0.0010956779718157912
