delta,ratio
-19.743409947366782,0.01144538914323087
-16.495195661652495,0.004360148245040331
-18.18345323741007,0.007194244604316547
-19.297256101212938,0.029758011772400263
-19.575644379601215,0.0021255722694571615
-17.885092921926468,0.003978635273599302
-16.480646481324627,0.0033246130368432525
-18.711862328319164,0.002616088947024199
-19.973080277037113,0.0028340963592762155
21.959085631332375,0.19811423588402005
-19.154992958949794,0.00604970568999346
-18.47198137593821,0.00763025942882058
-15.709968388925223,0.004796163069544364
-19.43763296572773,0.01738609112709832
-19.723080277037113,0.0028340963592762155
-20.061777294305557,0.005341181600174406
-15.663665810906227,0.0036516241552212777
-19.31923412319096,0.017004578155657292
-18.983909253885507,0.005613690865489427
-19.154570661652496,0.003488118596032265
-15.211437158251135,0.008011772400261609
-18.084646016262425,0.007684761281883584
-20.670195661652496,0.003488118596032265
-20.474362328319163,0.009810333551340745
-18.560310040737463,0.016677567037279267
-20.078849507806343,0.005668192718552431
-18.423096505534353,0.012916939175931981
26.91024573404215,0.020165685633311534
delta,ratio
-19.743409947366782,0.01144538914323087
-16.495195661652495,0.004360148245040331
-18.18345323741007,0.007194244604316547
-19.297256101212938,0.029758011772400263
-19.575644379601215,0.0021255722694571615
-17.885092921926468,0.003978635273599302
-16.480646481324627,0.0033246130368432525
-18.711862328319164,0.002616088947024199
-19.973080277037113,0.0028340963592762155
21.959085631332375,0.19811423588402005
-19.154992958949794,0.00604970568999346
-18.47198137593821,0.00763025942882058
-15.709968388925223,0.004796163069544364
-19.43763296572773,0.01738609112709832
-19.723080277037113,0.0028340963592762155
-20.061777294305557,0.005341181600174406
-15.663665810906227,0.0036516241552212777
-19.31923412319096,0.017004578155657292
-18.983909253885507,0.005613690865489427
-19.154570661652496,0.003488118596032265
-15.211437158251135,0.008011772400261609
-18.084646016262425,0.007684761281883584
-20.670195661652496,0.003488118596032265
-20.474362328319163,0.009810333551340745
-18.560310040737463,0.016677567037279267
-20.078849507806343,0.005668192718552431
-18.423096505534353,0.012916939175931981
26.91024573404215,0.020165685633311534
