ID,X,Y,A,B,theta,total_flux,mu_max,mu_median,mu_mean,R_fwhm,R_e,R10,R90,x_start,x_end,y_start,y_end,area,greylevel
0,502.8292922196307,515.6775720912627,298.7730204271073,298.23518449427013,1.3619937015401917,1468902.0,13.0,1.0,1.8047208454864225,43.66185873682799,230.61003363770723,87.0663536589593,379.3725039168163,0,1023,0,1023,813922,1.8047208454864225
1,793.3593272171254,14.824159021406729,8.452397067328679,2.1966069912615747,-1.4234598803555625,654.0,6.0,3.0,2.7364016736401675,6.333012368467128,4.853342309955121,1.9544100476116797,7.527227892173502,787,800,0,28,239,6.7364016736401675
2,598.2424242424242,4.03030303030303,3.567733788649132,1.6935623646395708,-0.5175601074198684,198.0,6.0,2.0,2.4444444444444446,2.985410660720923,2.5231325220201604,0.9772050238058398,4.370193722368317,593,607,0,9,81,6.444444444444445
3,1011.4954751131222,10.610859728506787,2.8454109663024276,2.5002109082154624,1.3729086180249284,442.0,7.0,3.0,3.4263565891472867,4.222008245644752,3.385137501286538,1.381976597885342,5.440847306724618,1006,1017,4,18,129,7.426356589147287
4,701.3890339425587,2.224543080939948,6.270139511370123,1.6192481913957366,0.13118793875237023,383.0,8.0,3.0,3.3893805309734515,3.949327084834294,3.3377905890622728,1.2615662610100802,5.232078956954491,688,711,0,7,113,7.389380530973451
5,869.812101910828,3.0254777070063694,8.958240902049061,1.9329402807548715,0.0050435043068484285,942.0,9.0,3.0,3.6511627906976742,4.982787485166879,4.753945931439391,1.8712051592547776,7.715176518808164,849,885,0,9,258,7.651162790697675
6,980.1990950226244,17.38235294117647,3.523381442850379,2.3542481910653237,1.1544814416184745,442.0,6.0,3.0,3.2028985507246377,5.352372348458314,3.742410318509555,1.4927053303604616,5.698035485213008,975,986,9,25,138,7.202898550724638
7,652.3631756756756,17.93412162162162,5.272303030109675,2.193901968687455,0.06005411703091685,592.0,6.0,2.0,2.4262295081967213,5.753627391751592,4.1841419359420025,1.692568750643269,6.817128675830715,640,666,12,23,244,7.426229508196721
8,118.98181818181818,22.33409090909091,5.273726631288532,2.5833287396527194,-1.5089975469758357,440.0,7.0,2.0,2.5142857142857142,3.1915382432114616,4.1841419359420025,1.4927053303604616,6.530966601401967,112,124,13,31,175,6.514285714285714
9,428.9710743801653,8.37396694214876,3.635138609582981,2.062664164626729,-0.6214848925628823,484.0,10.0,3.0,3.611940298507463,3.8678889139475245,3.385137501286538,1.2615662610100802,5.527906391541368,421,436,2,15,134,7.611940298507463
